pack_id,tube_id,particle_id,id,ore_type,rm_number,density_bin,created_at,density_g_per_cm3,volume_cm3,weight_g,axis_length_mm,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility,photo_url
57,TUBE-03,RT-XRM43971-0843,1014,GOV,RM43971,1190575,2025-03-18T02:56:31.563404,4.085125,0.236004,0.9641,12.65,0.0014502211826918185,3.5500259309200284e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0843/20250328131718
57,TUBE-03,RT-XRM43971-0854,1015,HGM,RM43971,1190575,2025-03-18T03:28:44.237655,4.173162,0.169275,0.7064,11.4,0.004364653177767933,1.045904114760287e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0854/20250328141243
57,TUBE-03,RT-XRM43971-0851,1016,HGF,RM43971,1190575,2025-03-18T03:21:30.340004,5.395066,0.203541,1.0981,13.03,0.008769451153049545,1.6254829770902987e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0851/20250328135437
57,TUBE-03,RT-XRM43971-0855,1017,HGM,RM43971,1190575,2025-03-18T03:28:51.926879,5.276896,0.140502,0.7414,11.64,0.0019993072459229527,3.7888679075622697e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0855/20250328142302
57,TUBE-03,RT-XRM43971-0852,1018,HGM,RM43971,1190575,2025-03-18T03:28:23.314539,4.003063,0.548106,2.1941,18.32,0.0015799924345534136,3.9469638272336414e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0852/20250328140012
57,TUBE-03,RT-XRM43971-0897,1019,HGM,RM43971,1190575,2025-03-18T04:06:52.219601,4.543999,0.15055,0.6841,9.7,0.0027629580427322047,6.080446328509478e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0897/20250402134856
57,TUBE-03,RT-XRM43971-0853,1020,HGM,RM43971,1190575,2025-03-18T03:28:34.465525,3.904454,0.382768,1.4945,13.97,0.0013646299237832491,3.4950596632095464e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0853/20250328140852
57,TUBE-03,RT-XRM43971-0898,1021,HGM,RM43971,1190575,2025-03-18T04:07:00.178287,4.037573,0.168022,0.6784,11.37,0.002212904659310487,5.480788128930818e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0898/20250402135918
57,TUBE-03,RT-XRM43971-0896,1022,HGM,RM43971,1190575,2025-03-18T04:06:45.146844,4.997921,0.081555,0.4076,11.98,0.011242147426072383,2.2493948315341834e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0896/20250402134511
57,TUBE-03,RT-XRM43971-0899,1023,HGM,RM43971,1190575,2025-03-18T04:07:07.466519,4.683392,0.178888,0.8378,12.2,0.0036135459058181663,7.715683934113155e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0899/20250402140349
58,TUBE-04,RT-XRM43971-0881,1024,HGM,RM43971,1190575,2025-03-18T03:57:00.079387,4.190633,0.236695,0.9919,12.44,0.0029758268376321147,7.101152669960009e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0881/20250401112207
58,TUBE-04,RT-XRM43971-0882,1025,HGM,RM43971,1190575,2025-03-18T03:57:07.182025,4.633444,0.12535,0.5808,14.53,0.0037363382528919032,8.06387741046832e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0882/20250401112817
58,TUBE-04,RT-XRM43971-0884,1026,HGM,RM43971,1190575,2025-03-18T03:57:21.508123,4.966902,0.281242,1.3969,16.34,0.002024602773886309,4.0761925215357817e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0884/20250401113910
58,TUBE-04,RT-XRM43971-0883,1027,HGM,RM43971,1190575,2025-03-18T03:57:14.171960,4.958392,0.14291,0.7086,15.94,0.0033478179740162807,6.751858124000377e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0883/20250401113238
58,TUBE-04,RT-XRM43971-0877,1028,HGM,RM43971,1190575,2025-03-25T22:14:26.563573,4.939823,0.18278,0.9029,10.57,0.008111755480176532,1.6421161442758518e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0877/20250401102318
58,TUBE-04,RT-XRM43971-0879,1029,HGM,RM43971,1190575,2025-03-25T22:14:46.327040,5.127306,0.126071,0.6464,13.32,0.002430958216666271,4.741233498349836e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0879/20250401111040
58,TUBE-04,RT-XRM43971-0876,1030,HGM,RM43971,1190575,2025-03-25T22:14:17.130680,4.576703,0.502327,2.299,17.67,0.0021626019173433507,4.725242859214151e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0876/20250401101828
58,TUBE-04,RT-XRM43971-0878,1031,HGM,RM43971,1190575,2025-03-25T22:14:37.072956,5.130512,0.091414,0.469,14.45,0.004278082861122658,8.338521677327648e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0878/20250401102742
58,TUBE-04,RT-XRM43971-0880,1032,HGM,RM43971,1190575,2025-03-25T22:14:56.236690,4.472938,0.380444,1.7017,15.12,0.0019543393158169575,4.3692581927876046e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0880/20250401111614
58,TUBE-04,RT-XRM43971-0891,1033,HGM,RM43971,1190575,2025-03-18T04:03:24.682631,4.374373,0.16759,0.7331,13.52,0.0026742446844481575,6.113445187104989e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0891/20250401122205
58,TUBE-04,RT-XRM43971-0885,1034,HGM,RM43971,1190575,2025-03-18T03:57:29.300456,4.554065,0.207134,0.9433,13.51,0.0034813212702887986,7.644439732852751e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0885/20250401114359
58,TUBE-04,RT-XRM43971-0892,1035,HGM,RM43971,1190575,2025-03-18T04:03:35.197904,5.002232,0.153452,0.7676,12.41,0.0025493965539712744,5.096534653465347e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0892/20250402133803
58,TUBE-04,RT-XRM43971-0893,1036,HGM,RM43971,1190575,2025-03-18T04:03:42.148401,4.153157,0.293223,1.2178,15.26,0.001663739429262598,4.005967044397e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0893/20250401122637
