created_at,particle_id,ore_type,rm_number,density_bin
2025-03-18T03:42:04.490042,RT-XRM43971-0866,HGM,RM43971,1190575
2025-03-18T03:42:12.918085,RT-XRM43971-0867,HGM,RM43971,1190575
2025-03-18T03:50:57.047611,RT-XRM43971-0871,HGM,RM43971,1190575
2025-03-18T03:51:04.458997,RT-XRM43971-0872,HGM,RM43971,1190575
2025-03-18T03:51:12.570109,RT-XRM43971-0873,HGM,RM43971,1190575
2025-03-18T03:51:21.223367,RT-XRM43971-0874,HGM,RM43971,1190575
2025-03-18T03:51:28.631996,RT-XRM43971-0875,HGM,RM43971,1190575
2025-03-18T03:57:00.079387,RT-XRM43971-0881,HGM,RM43971,1190575
2025-03-18T03:57:07.182025,RT-XRM43971-0882,HGM,RM43971,1190575
2025-03-18T03:57:14.171960,RT-XRM43971-0883,HGM,RM43971,1190575
2025-03-18T03:57:21.508123,RT-XRM43971-0884,HGM,RM43971,1190575
2025-03-18T03:57:29.300456,RT-XRM43971-0885,HGM,RM43971,1190575
2025-03-18T04:00:17.548053,RT-XRM43971-0886,HGM,RM43971,1190575
2025-03-18T04:00:25.266212,RT-XRM43971-0887,HGM,RM43971,1190575
2025-03-18T04:00:32.298094,RT-XRM43971-0888,HGM,RM43971,1190575
2025-03-18T04:00:38.777298,RT-XRM43971-0889,HGM,RM43971,1190575
2025-03-18T04:00:45.633446,RT-XRM43971-0890,HGM,RM43971,1190575
2025-03-18T04:03:24.682631,RT-XRM43971-0891,HGM,RM43971,1190575
2025-03-18T04:03:35.197904,RT-XRM43971-0892,HGM,RM43971,1190575
2025-03-18T04:03:42.148401,RT-XRM43971-0893,HGM,RM43971,1190575
2025-03-18T04:03:49.614262,RT-XRM43971-0894,HGM,RM43971,1190575
2025-03-18T04:03:56.791090,RT-XRM43971-0895,HGM,RM43971,1190575
2025-03-18T04:06:45.146844,RT-XRM43971-0896,HGM,RM43971,1190575
2025-03-18T04:06:52.219601,RT-XRM43971-0897,HGM,RM43971,1190575
2025-03-18T04:07:00.178287,RT-XRM43971-0898,HGM,RM43971,1190575
2025-03-18T04:07:07.466519,RT-XRM43971-0899,HGM,RM43971,1190575
2025-03-18T04:07:14.558492,RT-XRM43971-0900,HGM,RM43971,1190575
2025-03-18T04:13:10.289563,RT-XRM43971-0901,HGM,RM43971,1190575
2025-03-18T04:13:18.606772,RT-XRM43971-0902,HGM,RM43971,1190575
2025-03-18T04:13:26.837651,RT-XRM43971-0903,HGM,RM43971,1190575
2025-03-18T04:13:34.353658,RT-XRM43971-0904,HGM,RM43971,1190575
2025-03-18T04:13:42.207616,RT-XRM43971-0905,HGM,RM43971,1190575
2025-03-18T04:16:24.789999,RT-XRM43971-0906,HGM,RM43971,1190575
2025-03-18T04:16:31.983179,RT-XRM43971-0907,HGM,RM43971,1190575
2025-03-18T04:16:40.403994,RT-XRM43971-0908,HGM,RM43971,1190575
2025-03-18T04:16:46.943761,RT-XRM43971-0909,HGM,RM43971,1190575
2025-03-18T04:16:56.711131,RT-XRM43971-0910,HGM,RM43971,1190575
2025-03-18T04:29:06.287872,RT-XRM43971-0911,HGM,RM43971,1190575
2025-03-18T04:29:16.381709,RT-XRM43971-0912,HGM,RM43971,1190575
2025-03-18T04:29:24.914105,RT-XRM43971-0913,HGM,RM43971,1190575
2025-03-18T04:29:34.044650,RT-XRM43971-0914,HGM,RM43971,1190575
2025-03-18T04:29:40.802285,RT-XRM43971-0915,HGM,RM43971,1190575
2025-03-18T04:32:24.117243,RT-XRM43971-0916,HGM,RM43971,1190575
2025-03-18T04:32:30.705915,RT-XRM43971-0917,HGM,RM43971,1190575
2025-03-18T04:32:38.425272,RT-XRM43971-0918,HGM,RM43971,1190575
2025-03-18T04:32:46.696088,RT-XRM43971-0919,HGM,RM43971,1190575
2025-03-18T04:32:53.559180,RT-XRM43971-0920,HGM,RM43971,1190575
2025-03-18T04:34:59.036794,RT-XRM43971-0921,HGM,RM43971,1190575
2025-03-18T04:35:05.340872,RT-XRM43971-0922,HGM,RM43971,1190575
2025-03-18T04:35:14.512556,RT-XRM43971-0923,HGM,RM43971,1190575
2025-03-18T04:35:21.695114,RT-XRM43971-0924,HGM,RM43971,1190575
2025-03-18T04:38:52.823043,RT-XRM43971-0925,H2M,RM43971,1190578
2025-03-18T04:39:02.727335,RT-XRM43971-0926,H2M,RM43971,1190578
2025-03-18T04:39:10.308428,RT-XRM43971-0927,H2M,RM43971,1190578
2025-03-18T04:39:17.722482,RT-XRM43971-0928,H2M,RM43971,1190578
2025-03-19T02:29:09.679412,RT-XRM43971-0929,HGM,RM43971,1190578
2025-03-19T02:29:56.138003,RT-XRM43971-0930,HGM,RM43971,1190578
2025-03-19T02:30:47.826473,RT-XRM43971-0931,HGM,RM43971,1190578
