measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
595,RT-XRM43971-0391,HGH,RM43971,1190585,4.35,Indiana Veal,4.5557,0.0022,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 11:00:02.200551+11:00,True,458,0.3988,True
596,RT-XRM43971-0392,GOH,RM43971,1190574,3.25,Indiana Veal,3.9002,0.0181,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 12:10:02.256014+11:00,True,459,0.294,True
597,RT-XRM43971-0393,GOH,RM43971,1190574,3.25,Indiana Veal,4.0514,0.0029,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 12:20:02.420209+11:00,True,460,0.1774,True
598,RT-XRM43971-0394,GOH,RM43971,1190574,3.25,Indiana Veal,3.8885,0.0065,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 12:30:02.673662+11:00,True,461,0.1814,True
599,RT-XRM43971-0395,GOH,RM43971,1190577,3.55,Indiana Veal,3.9269,0.002,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 12:40:02.796683+11:00,True,462,0.4336,True
600,RT-XRM43971-0396,GOH,RM43971,1190577,3.55,Indiana Veal,4.1001,0.0024,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 12:40:02.875206+11:00,True,463,0.4189,True
601,RT-XRM43971-0397,GOH,RM43971,1190577,3.55,Indiana Veal,4.1918,0.0085,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 12:50:02.618667+11:00,True,464,0.1648,True
602,RT-XRM43971-0398,GOH,RM43971,1190577,3.55,Indiana Veal,4.0553,0.0025,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:00:02.528593+11:00,True,465,0.3836,True
603,RT-XRM43971-0399,GOH,RM43971,1190577,3.55,Indiana Veal,4.0197,0.0015,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:10:02.334514+11:00,True,466,0.4931,True
604,RT-XRM43971-0400,GOH,RM43971,1190577,3.55,Indiana Veal,4.6253,0.0149,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:10:02.429859+11:00,True,467,0.103,True
