measurement_id,particle_id,operator,magnetic_susceptibility,machine,created_at,valid,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility
133,RT-XRM43971-0267,Pengxiang Hu,0.0002452075,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.011597,True,0.0059545288975230695,1.2275719649561952e-06
134,RT-XRM43971-0268,Pengxiang Hu,0.00010968,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.022976,True,0.002934974578538935,6.230048281738143e-07
135,RT-XRM43971-0269,Pengxiang Hu,0.00011722333333333333,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.037913,True,0.0039495732255166215,8.44366011188744e-07
136,RT-XRM43971-0270,Pengxiang Hu,0.00010462666666666667,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.051265,True,0.003979713452516799,8.043873811537377e-07
137,RT-XRM43971-0271,Pengxiang Hu,5.0617999999999995e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.062706,True,0.0013606989247311827,3.2781555598730653e-07
138,RT-XRM43971-0290,Pengxiang Hu,7.1912e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.076003,True,0.0028753298680527788,5.502486800826384e-07
139,RT-XRM43971-0299,Pengxiang Hu,7.643e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.088187,True,0.003018562401263823,5.70884374066328e-07
140,RT-XRM43971-0300,Pengxiang Hu,0.00012743,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.101702,True,0.00336315650567432,6.400301356102461e-07
141,RT-XRM43971-0302,Pengxiang Hu,0.00013215000000000001,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.111727,True,0.004425653047555259,8.88642323986282e-07
142,RT-XRM43971-0309,Pengxiang Hu,0.00023118333333333333,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.125509,True,0.0061962833914053425,1.1954872961698901e-06
143,RT-XRM43971-0329,Pengxiang Hu,5.979366666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.139566,True,0.0013679630900632958,3.3829514380009426e-07
144,RT-XRM43971-0339,Pengxiang Hu,3.110233333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.152796,True,0.0014143853266636347,3.5432140958456744e-07
145,RT-XRM43971-0343,Pengxiang Hu,0.00011447666666666666,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.165046,True,0.0022597052243716275,4.944782802758699e-07
146,RT-XRM43971-0354,Pengxiang Hu,8.874366666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.177251,True,0.002770642106358622,6.136334301387545e-07
147,RT-XRM43971-0356,Pengxiang Hu,0.00011394,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.189921,True,0.0020548241659152392,4.30465827949677e-07
148,RT-XRM43971-0375,Pengxiang Hu,0.0016923666666666668,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.203824,True,0.034079071016243793,8.225354394491697e-06
149,RT-XRM43971-0376,Pengxiang Hu,8.413933333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.219977,True,0.0013761748991385889,3.291449881990899e-07
150,RT-XRM43971-0388,Pengxiang Hu,0.00010426000000000001,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.234290,True,0.0023534988713318286,5.17547778605113e-07
151,RT-XRM43971-0395,Pengxiang Hu,5.5358333333333335e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.245197,True,0.0012767143296432966,3.2508270205727484e-07
152,RT-XRM43971-0396,Pengxiang Hu,6.8181e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:29.255365,True,0.0016276199570303177,3.9693194387844215e-07
